"","Cluster","Date","total_caught"
"141",11,2018-01-25,0
"142",11,2018-02-08,0
"143",11,2018-02-22,0
"144",11,2018-03-22,0
"145",11,2018-04-19,0
"146",11,2018-06-14,0
"147",11,2018-06-27,0
"148",11,2018-09-06,0
"149",11,2018-09-20,0
"150",11,2018-10-18,0
"151",11,2018-10-31,1
"152",11,2018-11-15,1
"153",11,2018-11-28,0
"154",11,2019-01-10,2
"155",11,2016-10-05,0
"156",11,2016-10-18,0
"157",11,2016-11-02,1
"158",11,2016-11-16,0
"159",11,2016-11-30,0
"160",11,2016-12-14,0
"161",11,2016-12-28,0
"162",11,2017-01-11,0
"163",11,2017-01-25,0
"164",11,2017-02-08,0
"165",11,2017-02-22,0
"166",11,2017-03-22,0
"167",11,2017-04-05,0
"168",11,2017-04-19,0
"169",11,2017-05-03,0
"170",11,2017-05-17,0
"171",11,2017-05-31,0
"172",11,2017-06-14,0
"173",11,2017-07-12,1
"174",11,2017-07-26,0
"175",11,2017-08-09,0
"176",11,2017-09-06,0
"177",11,2017-09-20,0
"178",11,2017-10-04,2
"179",11,2017-10-18,0
"180",11,2017-10-31,3
"181",11,2017-11-15,0
"182",11,2017-11-30,0
"183",11,2017-12-14,0
"184",11,2017-12-28,0
"185",11,2018-01-11,0
"186",11,2018-01-25,1
"187",11,2018-02-08,1
"188",11,2018-02-22,0
"189",11,2018-03-08,0
"190",11,2018-04-05,1
"191",11,2018-04-19,0
"192",11,2018-05-03,0
"193",11,2018-05-17,0
"194",11,2018-05-31,1
"195",11,2018-10-04,0
"196",11,2018-10-31,0
"197",11,2018-12-13,0
"198",11,2018-12-27,0
"199",11,2018-11-15,0
"200",11,2017-03-08,0
"201",11,2017-05-03,0
"202",11,2017-07-12,0
"203",11,2017-08-09,0
"204",11,2017-10-18,0
"205",11,2017-11-15,0
"206",11,2018-02-22,0
"207",11,2018-03-22,0
"208",11,2018-06-14,0
"209",11,2017-10-31,1
"210",11,2017-11-15,0
"211",11,2018-06-14,0
"212",11,2018-09-20,0
"213",11,2017-01-25,0
"214",11,2017-02-08,0
"215",11,2017-02-22,0
"216",11,2017-03-08,0
"217",11,2017-03-22,0
"218",11,2017-05-03,0
"219",11,2017-05-17,0
"220",11,2017-06-14,0
"221",11,2017-06-28,0
"222",11,2017-09-06,0
"223",11,2017-10-31,0
"224",11,2018-01-11,0
"225",11,2018-02-22,0
"226",11,2018-04-05,0
"227",11,2018-04-19,0
"228",11,2018-05-17,0
"229",11,2016-10-05,0
"230",11,2016-10-18,0
"231",11,2016-11-02,0
"232",11,2016-11-16,0
"233",11,2016-11-30,0
"234",11,2016-12-14,0
"235",11,2017-01-25,0
"236",11,2017-02-08,0
"237",11,2017-03-08,0
"238",11,2017-03-22,0
"239",11,2017-04-05,0
"240",11,2017-04-19,0
"241",11,2017-05-17,0
"242",11,2017-07-12,0
"243",11,2017-08-09,0
"244",11,2017-08-23,0
"245",11,2017-09-06,0
"246",11,2017-12-28,0
"247",11,2018-05-03,0
"248",11,2018-09-20,0
"249",11,2018-12-13,0
"250",11,2018-12-27,0
"251",11,2019-01-10,0
"252",11,2018-03-22,0
"253",11,2018-12-27,0
"254",11,2019-01-10,0
"255",11,2017-01-25,0
"256",11,2017-02-08,0
"257",11,2017-02-22,0
"258",11,2017-03-08,0
"259",11,2017-03-22,0
"260",11,2017-04-05,0
"261",11,2017-04-19,0
"262",11,2017-05-03,0
"263",11,2017-05-17,0
"264",11,2017-05-31,0
"265",11,2017-06-14,0
"266",11,2017-06-28,0
"267",11,2017-07-12,0
"268",11,2017-08-09,0
"269",11,2017-08-23,0
"270",11,2017-09-06,0
"271",11,2017-09-20,0
"272",11,2017-10-18,0
"273",11,2017-11-15,1
"274",11,2017-11-30,0
"275",11,2017-12-28,1
"276",11,2018-04-05,0
"277",11,2018-04-19,0
"278",11,2018-06-14,0
"279",11,2018-12-27,0
"280",11,2016-10-05,0
"281",11,2016-11-16,0
"282",11,2016-11-30,0
"283",11,2017-01-11,0
"284",11,2017-02-08,0
"285",11,2017-02-22,0
"286",11,2017-03-08,0
"287",11,2017-03-22,0
"288",11,2017-04-05,0
"289",11,2017-04-19,0
"290",11,2017-05-03,0
"291",11,2017-05-31,0
"292",11,2017-07-12,0
"293",11,2017-08-23,1
"294",11,2017-09-06,0
"295",11,2017-09-20,0
"296",11,2017-10-04,0
"297",11,2017-10-18,0
"298",11,2017-10-31,0
"299",11,2017-11-15,0
"300",11,2017-11-30,1
"301",11,2017-12-14,0
"302",11,2017-12-28,0
"303",11,2018-01-11,0
"304",11,2018-02-08,0
"305",11,2018-02-22,0
"306",11,2018-03-08,0
"307",11,2018-03-22,0
"308",11,2018-05-17,0
"309",11,2018-05-31,1
"310",11,2018-06-14,0
"311",11,2018-06-27,0
"312",11,2018-07-12,0
"313",11,2018-07-26,0
"314",11,2018-08-09,0
"315",11,2018-08-23,0
"316",11,2018-09-06,0
"317",11,2018-10-04,0
"318",11,2018-11-15,0
"319",11,2018-11-28,0
"320",11,2018-12-13,1
"321",11,2017-04-05,0
"322",11,2017-06-28,0
"323",11,2018-03-22,0
"324",11,2018-10-31,0
"325",11,2018-11-15,0
"326",11,2018-12-27,0
"327",11,2019-01-10,0
"328",11,2016-10-05,1
"329",11,2016-10-18,0
"330",11,2016-11-02,0
"331",11,2016-11-30,0
"332",11,2016-12-14,3
"333",11,2016-12-28,0
"334",11,2017-01-11,1
"335",11,2017-01-25,0
"336",11,2017-02-08,1
"337",11,2017-02-22,1
"338",11,2017-03-08,0
"339",11,2017-03-22,2
"340",11,2017-04-05,2
"341",11,2017-04-19,1
"342",11,2017-05-03,0
"343",11,2017-05-17,0
"344",11,2017-05-31,3
"345",11,2017-06-14,0
"346",11,2017-06-28,0
"347",11,2017-07-12,0
"348",11,2017-07-26,0
"349",11,2017-08-09,1
"350",11,2017-08-23,0
"351",11,2017-09-06,1
"352",11,2017-09-20,0
"353",11,2017-10-04,0
"354",11,2017-10-18,3
"355",11,2017-10-31,1
"356",11,2017-11-15,0
"357",11,2017-11-30,0
"358",11,2017-12-14,0
"359",11,2017-12-28,0
"360",11,2018-01-11,1
"361",11,2018-01-25,0
"362",11,2018-02-08,0
"363",11,2018-02-22,0
"364",11,2018-03-08,0
"365",11,2018-04-05,2
"366",11,2018-04-19,1
"367",11,2018-05-03,3
"368",11,2018-05-17,1
"369",11,2018-05-31,0
"370",11,2018-06-27,0
"371",11,2018-07-12,0
"372",11,2018-07-26,0
"373",11,2018-08-09,1
"374",11,2018-08-23,0
"375",11,2018-09-06,0
"376",11,2018-09-20,0
"377",11,2018-10-04,0
"378",11,2018-10-18,0
"379",11,2018-10-31,0
"380",11,2018-11-15,0
"381",11,2018-11-28,1
"382",11,2018-12-13,1
"383",11,2019-01-10,3
"384",11,2017-09-20,0
"385",11,2017-10-04,1
"386",11,2017-10-05,0
"387",11,2017-11-30,0
"388",11,2017-12-14,0
"389",11,2018-01-25,0
"390",11,2018-02-22,0
"391",11,2018-03-22,0
"392",11,2018-04-05,0
"393",11,2018-05-03,0
"394",11,2018-05-17,0
"395",11,2018-05-31,0
"396",11,2018-07-12,0
"397",11,2018-07-26,0
"398",11,2018-08-09,0
"399",11,2018-08-23,0
"400",11,2018-09-06,0
"401",11,2018-09-20,0
"402",11,2018-10-04,0
"403",11,2018-10-18,0
"404",11,2018-10-31,0
"405",11,2018-11-15,0
"406",11,2018-11-28,0
"407",11,2018-12-13,0
"408",11,2018-12-27,0
"409",11,2019-01-10,0
"410",11,2017-07-12,1
"411",11,2017-10-18,0
"412",11,2018-02-08,0
"413",11,2018-07-26,0
"414",11,2018-08-09,0
"415",11,2018-10-18,0
"416",11,2018-10-31,0
"417",11,2018-11-15,0
"418",11,2018-11-28,0
"419",11,2018-12-13,0
"420",11,2018-12-27,0
"421",11,2016-11-16,0
"422",11,2017-11-15,0
"423",11,2018-01-25,0
"424",11,2018-02-08,0
"425",11,2018-03-22,0
"426",11,2018-04-05,0
"427",11,2016-11-02,1
"428",11,2016-11-30,0
"429",11,2016-12-14,0
"430",11,2016-12-28,0
"431",11,2017-01-11,0
"432",11,2017-01-25,0
"433",11,2017-02-08,0
"434",11,2017-02-22,0
"435",11,2017-03-22,0
"436",11,2017-04-05,0
"437",11,2017-05-03,0
"438",11,2017-05-17,0
"439",11,2017-06-14,0
"440",11,2017-07-12,0
"441",11,2017-07-26,0
"442",11,2017-08-23,1
"443",11,2017-09-06,0
"444",11,2017-09-20,0
"445",11,2017-10-04,1
"446",11,2017-10-18,0
"447",11,2017-11-15,1
"448",11,2017-11-30,0
"449",11,2017-12-14,0
"450",11,2017-12-28,0
"451",11,2018-01-11,0
"452",11,2018-01-25,0
"453",11,2018-02-08,0
"454",11,2018-02-22,0
"455",11,2018-03-08,0
"456",11,2018-03-22,0
"457",11,2018-04-05,0
"458",11,2018-04-19,0
"459",11,2018-05-03,0
"460",11,2018-05-17,0
"461",11,2018-05-31,0
"462",11,2018-06-14,0
"463",11,2018-06-27,0
"464",11,2018-07-26,0
"465",11,2018-08-09,0
"466",11,2018-08-23,0
"467",11,2018-09-06,0
"468",11,2018-09-20,0
"469",11,2018-10-18,0
"470",11,2018-10-31,0
"471",11,2018-11-15,0
"472",11,2018-11-28,0
"473",11,2018-12-13,0
"474",11,2018-12-27,0
"475",11,2016-11-23,0
"476",11,2016-11-30,0
"477",11,2016-12-14,0
"478",11,2016-12-28,0
"479",11,2017-02-22,0
"480",11,2017-07-12,0
"481",11,2017-08-09,0
"482",11,2017-08-23,1
"483",11,2017-09-06,0
"484",11,2017-11-30,0
"485",11,2017-12-14,1
"486",11,2018-03-22,0
"487",11,2018-04-05,0
"488",11,2018-05-31,0
"489",11,2018-06-27,0
"490",11,2018-07-12,0
"491",11,2018-07-26,0
"492",11,2018-08-09,0
"493",11,2018-09-20,0
"494",11,2017-03-08,0
"495",11,2017-12-28,0
"496",11,2018-09-20,0
"497",11,2018-11-28,0
"498",11,2018-12-13,0
"499",11,2018-12-27,0
"500",11,2016-11-02,0
"501",11,2017-06-28,1
"502",11,2017-07-26,0
"503",11,2017-08-09,0
"504",11,2017-08-23,0
"505",11,2017-10-31,0
"506",11,2017-11-15,0
"507",11,2018-01-25,0
"508",11,2018-02-08,0
"509",11,2018-04-05,0
"510",11,2018-04-19,0
"511",11,2018-05-03,0
"512",11,2018-05-17,0
"513",11,2018-05-31,0
"514",11,2018-06-27,0
"515",11,2018-07-12,0
"516",11,2018-07-26,0
"517",11,2018-08-09,0
"518",11,2018-08-23,0
"519",11,2018-10-04,0
"520",11,2018-10-18,0
"521",11,2018-11-15,0
"522",11,2018-12-27,0
"523",11,2016-10-18,0
"524",11,2016-11-16,0
"525",11,2016-11-30,0
"526",11,2016-12-14,0
"527",11,2016-12-28,0
"528",11,2017-01-11,0
"529",11,2017-01-25,0
"530",11,2017-02-08,0
"531",11,2017-02-22,0
"532",11,2017-03-22,0
"533",11,2017-04-05,0
"534",11,2017-04-19,0
"535",11,2017-05-03,0
"536",11,2017-05-17,0
"537",11,2017-05-31,0
"538",11,2017-06-14,0
"539",11,2017-06-28,0
"540",11,2017-07-12,0
"541",11,2017-07-26,0
"542",11,2017-08-09,0
"543",11,2017-08-23,0
"544",11,2017-09-06,0
"545",11,2017-09-20,2
"546",11,2017-10-04,1
"547",11,2017-10-18,0
"548",11,2017-10-31,0
"549",11,2017-11-15,2
"550",11,2017-11-30,0
"551",11,2017-12-14,0
"552",11,2017-12-28,0
"553",11,2018-01-11,0
"554",11,2018-01-25,0
"555",11,2018-02-08,1
"556",11,2018-02-22,0
"557",11,2018-03-08,0
"558",11,2018-04-05,0
"559",11,2018-09-20,0
"560",11,2018-10-04,0
"561",11,2018-12-13,0
"562",11,2017-01-25,0
"563",11,2017-02-08,0
"564",11,2017-02-22,0
"565",11,2017-05-17,0
"566",11,2017-07-12,0
"567",11,2017-08-23,1
"568",11,2018-01-25,0
"569",11,2018-02-08,0
"570",11,2018-06-27,0
"571",11,2017-09-06,0
"572",11,2017-11-30,0
"573",11,2016-10-18,1
"574",11,2016-11-02,0
"575",11,2016-11-16,1
"576",11,2016-11-30,1
"577",11,2016-12-14,1
"578",11,2017-01-11,0
"579",11,2017-01-25,0
"580",11,2017-02-08,0
"581",11,2017-02-22,0
"582",11,2017-03-08,0
"583",11,2017-03-22,0
"584",11,2017-04-05,0
"585",11,2017-04-19,0
"586",11,2017-05-03,0
"587",11,2017-05-17,0
"588",11,2017-05-31,0
"589",11,2017-06-28,0
"590",11,2017-07-12,0
"591",11,2017-07-26,0
"592",11,2017-08-09,0
"593",11,2017-08-23,0
"594",11,2017-09-06,0
"595",11,2017-09-20,0
"596",11,2017-10-04,0
"597",11,2017-10-18,0
"598",11,2017-10-31,1
"599",11,2017-11-15,0
"600",11,2017-11-30,1
"601",11,2017-12-14,0
"602",11,2017-12-28,1
"603",11,2018-01-11,0
"604",11,2018-01-25,0
"605",11,2018-02-08,0
"606",11,2018-02-22,0
"607",11,2018-03-08,0
"608",11,2018-03-22,0
"609",11,2018-04-05,0
"610",11,2018-04-19,0
"611",11,2018-05-03,1
"612",11,2018-05-17,0
"613",11,2018-05-31,0
"614",11,2018-06-14,0
"615",11,2018-06-27,0
"616",11,2018-07-12,0
"617",11,2018-07-26,0
"618",11,2018-08-09,0
"619",11,2018-08-23,0
"620",11,2018-09-06,0
"621",11,2018-09-20,0
"622",11,2018-10-04,1
"623",11,2018-10-18,4
"624",11,2018-10-31,3
"625",11,2018-11-15,0
"626",11,2018-11-28,0
"627",11,2018-12-13,1
"628",11,2018-12-27,5
"629",11,2016-10-18,1
"630",11,2016-11-02,0
"631",11,2016-11-16,0
"632",11,2016-11-30,0
"633",11,2016-12-14,0
"634",11,2016-12-28,1
"635",11,2017-01-11,0
"636",11,2017-01-25,0
"637",11,2017-02-08,0
"638",11,2017-02-22,0
"639",11,2017-03-08,0
"640",11,2017-03-22,0
"641",11,2017-04-05,0
"642",11,2017-04-19,0
"643",11,2017-05-03,0
"644",11,2017-05-17,0
"645",11,2017-05-31,0
"646",11,2017-06-14,0
"647",11,2017-06-28,1
"648",11,2017-07-12,0
"649",11,2017-07-26,0
"650",11,2017-08-09,1
"651",11,2017-08-23,1
"652",11,2017-09-06,0
"653",11,2017-09-20,3
"654",11,2017-10-18,0
"655",11,2017-10-31,1
"656",11,2017-11-15,0
"657",11,2017-11-30,0
"658",11,2017-12-14,0
"659",11,2017-12-28,0
"660",11,2018-01-11,1
"661",11,2018-02-08,0
"662",11,2018-02-22,0
"663",11,2018-03-08,0
"664",11,2018-03-22,0
"665",11,2018-04-05,1
"666",11,2018-04-19,0
"667",11,2018-05-03,0
"668",11,2018-05-17,0
"669",11,2018-05-31,0
"670",11,2018-06-14,0
"671",11,2018-06-27,0
"672",11,2018-07-12,0
"673",11,2018-07-26,0
"674",11,2018-08-09,0
"675",11,2018-08-23,0
"676",11,2018-09-06,0
"677",11,2018-09-20,0
"678",11,2018-10-04,0
"679",11,2018-10-18,1
"680",11,2018-10-31,0
"681",11,2018-11-15,1
"682",11,2018-11-28,0
"683",11,2018-12-13,0
"684",11,2018-12-27,1
"685",11,2019-01-10,1
"686",11,2017-03-08,2
"687",11,2017-03-22,0
"688",11,2017-04-05,0
"689",11,2017-06-28,5
"690",11,2017-07-12,4
"691",11,2017-07-26,0
"692",11,2017-08-09,0
"693",11,2017-09-06,7
"694",11,2017-09-20,17
"695",11,2017-10-04,3
"696",11,2017-10-18,1
"697",11,2017-10-31,2
"698",11,2017-11-15,1
"699",11,2017-11-30,0
"700",11,2017-12-14,3
"701",11,2017-12-28,2
"702",11,2018-01-11,0
"703",11,2018-01-25,0
"704",11,2018-02-08,1
"705",11,2018-02-22,0
"706",11,2018-03-08,1
"707",11,2018-03-22,0
"708",11,2018-04-05,0
"709",11,2018-05-03,0
"710",11,2018-05-17,1
"711",11,2018-05-31,0
"712",11,2018-06-14,0
"713",11,2018-06-27,0
"714",11,2018-07-12,0
"715",11,2018-07-26,1
"716",11,2018-08-09,0
"717",11,2018-08-23,0
"718",11,2018-09-06,0
"719",11,2018-09-20,0
"720",11,2018-10-04,0
"721",11,2018-10-18,2
"722",11,2018-10-31,0
"723",11,2018-11-15,0
"724",11,2018-11-28,0
"725",11,2018-12-13,0
"726",11,2018-12-27,0
"727",11,2019-01-10,0
"728",11,2017-12-28,2
"729",11,2018-01-25,1
"730",11,2018-02-22,0
"731",11,2018-04-05,0
"732",11,2018-05-31,0
"733",11,2018-10-18,0
"734",11,2017-12-14,0
"735",11,2018-10-31,0
"736",11,2018-11-28,0
"737",11,2017-03-22,0
"738",11,2017-08-09,0
"739",11,2017-11-30,0
"740",11,2017-12-14,0
"741",11,2016-10-18,0
"742",11,2016-11-02,0
"743",11,2016-11-16,0
"744",11,2016-11-23,0
"745",11,2016-11-30,0
"746",11,2016-12-14,0
"747",11,2016-12-28,0
"748",11,2017-01-11,1
"749",11,2017-01-25,1
"750",11,2017-02-08,0
"751",11,2017-02-22,0
"752",11,2017-03-22,0
"753",11,2017-04-05,0
"754",11,2017-04-19,0
"755",11,2017-05-03,0
"756",11,2017-05-17,0
"757",11,2017-05-31,0
"758",11,2017-06-14,0
"759",11,2017-06-28,0
"760",11,2017-07-12,0
"761",11,2017-07-26,0
"762",11,2017-08-09,0
"763",11,2017-08-23,0
"764",11,2017-09-06,0
"765",11,2017-09-20,0
"766",11,2017-10-04,0
"767",11,2017-10-18,1
"768",11,2017-10-31,2
"769",11,2017-11-15,0
"770",11,2017-11-30,0
"771",11,2017-12-14,0
"772",11,2017-12-28,1
"773",11,2018-01-11,0
"774",11,2018-01-25,0
"775",11,2018-02-08,1
"776",11,2018-02-22,0
"777",11,2018-03-22,0
"778",11,2018-04-05,2
"779",11,2018-04-19,0
"780",11,2018-05-03,0
"781",11,2018-05-31,0
"782",11,2018-06-14,0
"783",11,2018-06-27,0
"784",11,2018-07-12,0
"785",11,2018-07-26,0
"786",11,2018-08-09,0
"787",11,2018-08-23,0
"788",11,2018-09-06,0
"789",11,2018-09-20,1
"790",11,2018-10-04,1
"791",11,2018-10-18,0
"792",11,2018-10-31,0
"793",11,2018-11-15,0
"794",11,2018-11-28,0
"795",11,2018-12-13,0
"796",11,2018-12-27,0
"797",11,2019-01-10,0
"798",11,2016-10-18,0
"799",11,2016-11-02,0
"800",11,2016-11-16,0
"801",11,2016-11-30,0
"802",11,2016-12-14,0
"803",11,2016-12-28,0
"804",11,2017-03-08,0
"805",11,2017-05-17,0
"806",11,2017-07-12,0
"807",11,2017-07-26,1
"808",11,2017-08-09,0
"809",11,2017-08-23,0
"810",11,2017-09-06,0
"811",11,2017-09-20,0
"812",11,2017-10-04,0
"813",11,2017-10-18,0
"814",11,2017-10-31,1
"815",11,2017-11-15,0
"816",11,2017-11-30,0
"817",11,2017-12-14,0
"818",11,2017-12-28,0
"819",11,2018-01-11,0
"820",11,2018-01-25,1
"821",11,2018-02-08,0
"822",11,2018-03-08,1
"823",11,2018-03-22,0
"824",11,2018-04-05,0
"825",11,2018-04-19,0
"826",11,2018-05-03,0
"827",11,2018-05-17,0
"828",11,2018-05-31,0
"829",11,2018-06-14,0
"830",11,2018-06-27,0
"831",11,2018-07-12,0
"832",11,2018-07-26,0
"833",11,2018-08-09,0
"834",11,2018-08-23,0
"835",11,2018-09-06,1
"836",11,2018-09-20,0
"837",11,2018-10-04,4
"838",11,2018-10-18,0
"839",11,2018-10-31,0
"840",11,2018-11-15,0
"841",11,2018-11-28,0
"842",11,2018-12-13,0
"843",11,2018-12-27,0
"844",11,2019-01-10,0
"845",11,2016-10-18,0
"846",11,2016-11-23,0
"847",11,2016-11-30,0
"848",11,2016-12-14,0
"849",11,2017-01-11,0
"850",11,2017-01-25,0
"851",11,2017-02-08,0
"852",11,2017-02-22,0
"853",11,2017-03-08,0
"854",11,2017-03-22,0
"855",11,2017-04-05,0
"856",11,2017-04-19,0
"857",11,2017-05-03,0
"858",11,2017-05-17,0
"859",11,2017-05-31,0
"860",11,2017-06-14,0
"861",11,2017-08-09,0
"862",11,2017-09-06,0
"863",11,2017-10-31,0
"864",11,2017-11-15,0
"865",11,2018-01-11,0
"866",11,2018-01-25,1
"867",11,2018-02-08,0
"868",11,2018-03-22,0
"869",11,2018-04-19,0
"870",11,2018-05-03,0
"871",11,2018-05-17,0
"872",11,2018-05-31,0
"873",11,2018-06-14,0
"874",11,2018-07-26,0
"875",11,2018-08-09,0
"876",11,2016-12-14,0
"877",11,2017-02-22,0
"878",11,2017-03-08,0
"879",11,2017-06-28,0
"880",11,2017-07-12,0
"881",11,2017-10-05,0
"882",11,2018-06-27,0
"883",11,2018-08-09,0
"884",11,2018-09-20,0
"885",11,2018-10-04,0
"886",11,2018-10-18,0
"887",11,2017-06-14,0
"888",11,2017-07-12,0
"889",11,2016-10-18,0
"890",11,2016-11-02,2
"891",11,2016-11-16,0
"892",11,2016-11-30,0
"893",11,2016-12-14,0
"894",11,2016-12-28,0
"895",11,2017-01-11,0
"896",11,2017-01-25,1
"897",11,2017-02-08,0
"898",11,2017-02-22,1
"899",11,2017-03-08,1
"900",11,2017-03-22,0
"901",11,2017-04-05,1
"902",11,2017-04-19,0
"903",11,2017-05-03,0
"904",11,2017-05-17,0
"905",11,2017-05-31,0
"906",11,2017-06-14,0
"907",11,2017-06-28,0
"908",11,2017-07-12,0
"909",11,2017-07-26,0
"910",11,2017-08-09,1
"911",11,2017-08-23,1
"912",11,2017-09-06,0
"913",11,2017-09-20,0
"914",11,2017-10-04,0
"915",11,2017-10-18,0
"916",11,2017-10-31,0
"917",11,2017-11-15,0
"918",11,2017-11-30,0
"919",11,2017-12-14,0
"920",11,2017-12-28,1
"921",11,2018-01-25,1
"922",11,2018-02-08,1
"923",11,2018-02-22,1
"924",11,2018-03-08,0
"925",11,2018-03-22,0
"926",11,2018-04-05,0
"927",11,2018-04-19,0
"928",11,2018-05-03,0
"929",11,2018-05-17,0
"930",11,2018-05-31,0
"931",11,2018-06-14,0
"932",11,2018-06-27,0
"933",11,2018-07-12,1
"934",11,2018-07-26,0
"935",11,2018-08-09,1
"936",11,2018-08-23,0
"937",11,2018-09-06,0
"938",11,2018-09-20,1
"939",11,2018-10-04,0
"940",11,2018-10-18,2
"941",11,2018-10-31,0
"942",11,2018-11-15,1
"943",11,2018-11-28,0
"944",11,2018-12-13,0
"945",11,2018-12-27,0
"946",11,2016-10-18,0
"947",11,2016-11-02,0
"948",11,2016-11-16,0
"949",11,2016-11-30,0
"950",11,2016-12-14,0
"951",11,2016-12-28,0
"952",11,2017-01-11,0
"953",11,2017-01-25,0
"954",11,2017-02-08,0
"955",11,2017-02-22,0
"956",11,2017-03-08,0
"957",11,2017-03-22,0
"958",11,2017-04-05,0
"959",11,2017-04-19,0
"960",11,2017-05-03,0
"961",11,2017-05-17,0
"962",11,2017-07-12,0
"963",11,2017-08-09,0
"964",11,2017-08-23,0
"965",11,2017-09-06,0
"966",11,2017-10-31,0
"967",11,2017-11-30,0
"968",11,2017-12-28,0
"969",11,2018-02-08,0
"970",11,2018-02-22,0
"971",11,2018-04-19,0
"972",11,2018-05-03,0
"973",11,2018-05-17,0
"974",11,2018-05-31,0
"975",11,2018-06-14,0
"976",11,2018-06-27,0
"977",11,2018-07-26,0
"978",11,2018-08-09,0
"979",11,2018-09-06,0
"980",11,2018-09-20,0
"981",11,2018-11-15,0
"982",11,2018-12-13,0
"983",11,2018-12-27,0
"984",11,2019-01-10,1
"985",11,2017-01-25,0
"986",11,2017-02-08,0
"987",11,2017-06-28,1
"988",11,2017-07-12,0
"989",11,2017-08-09,0
"990",11,2017-08-23,0
"991",11,2017-10-18,0
"992",11,2018-08-09,0
"993",11,2018-09-06,0
"994",11,2018-11-28,0
"995",11,2017-07-12,0
"996",11,2017-07-26,0
"997",11,2017-08-23,0
